Date: 2021-03-22 17:11:16s, Time_Cost: 684s, Epoch: [102/1980], Train_PSNR: 28.06, Train_SSIM:0.9063, Val_PSNR: 26.88, Val_SSIM: 0.9449
Date: 2021-03-22 17:22:22s, Time_Cost: 666s, Epoch: [103/1980], Train_PSNR: 28.08, Train_SSIM:0.9064, Val_PSNR: 26.98, Val_SSIM: 0.9450
Date: 2021-03-22 17:33:27s, Time_Cost: 666s, Epoch: [104/1980], Train_PSNR: 28.06, Train_SSIM:0.9066, Val_PSNR: 26.96, Val_SSIM: 0.9435
Date: 2021-03-22 17:44:29s, Time_Cost: 661s, Epoch: [105/1980], Train_PSNR: 28.11, Train_SSIM:0.9068, Val_PSNR: 27.12, Val_SSIM: 0.9456
Date: 2021-03-22 17:55:31s, Time_Cost: 662s, Epoch: [106/1980], Train_PSNR: 28.05, Train_SSIM:0.9062, Val_PSNR: 27.13, Val_SSIM: 0.9470
Date: 2021-03-22 18:06:43s, Time_Cost: 672s, Epoch: [107/1980], Train_PSNR: 28.08, Train_SSIM:0.9062, Val_PSNR: 27.33, Val_SSIM: 0.9467
Date: 2021-03-22 18:17:49s, Time_Cost: 666s, Epoch: [108/1980], Train_PSNR: 28.05, Train_SSIM:0.9068, Val_PSNR: 26.82, Val_SSIM: 0.9433
Date: 2021-03-22 18:28:54s, Time_Cost: 665s, Epoch: [109/1980], Train_PSNR: 28.09, Train_SSIM:0.9066, Val_PSNR: 27.08, Val_SSIM: 0.9461
Date: 2021-03-22 18:40:07s, Time_Cost: 673s, Epoch: [110/1980], Train_PSNR: 28.05, Train_SSIM:0.9061, Val_PSNR: 27.00, Val_SSIM: 0.9440
Date: 2021-03-22 18:51:16s, Time_Cost: 669s, Epoch: [111/1980], Train_PSNR: 28.10, Train_SSIM:0.9066, Val_PSNR: 27.23, Val_SSIM: 0.9468
Date: 2021-03-22 19:02:23s, Time_Cost: 666s, Epoch: [112/1980], Train_PSNR: 28.10, Train_SSIM:0.9065, Val_PSNR: 27.32, Val_SSIM: 0.9480
